,precision,recall,f1-score,support
glioma,0.9318181818181818,0.6134663341645885,0.7398496240601504,401.0
meningioma,0.8114754098360656,0.495,0.6149068322981367,400.0
notumor,0.7758284600389863,0.995,0.8718510405257394,400.0
pituitary,0.6901893287435457,1.0,0.8167006109979633,401.0
accuracy,0.7759051186017478,0.7759051186017478,0.7759051186017478,0.7759051186017478
macro avg,0.8023278451091949,0.7758665835411471,0.7608270269704975,1602.0
weighted avg,0.8023386764577237,0.7759051186017478,0.76084880985509,1602.0
