,precision,recall,f1-score,support
glioma,0.9580152671755725,0.6259351620947631,0.7571644042232277,401.0
meningioma,0.8238993710691824,0.655,0.7298050139275766,400.0
notumor,0.7900990099009901,0.9975,0.881767955801105,400.0
pituitary,0.7756286266924565,1.0,0.8736383442265795,401.0
accuracy,0.8196004993757803,0.8196004993757803,0.8196004993757803,0.8196004993757803
macro avg,0.8369105687095504,0.8196087905236908,0.8105939295446222,1602.0
weighted avg,0.8369479112541502,0.8196004993757803,0.8105999313482181,1602.0
